version,checkpoint,role,file,sha256
v1,045000,best,config.json,7194f321fc991bdb1c772eadb6aaafaff37bd8a4eeb5bf2a6f66e9327fb2ae9b
v1,045000,best,model.safetensors,287965f5f6c15885561153297cbc00dbab7ae16ee0c873b5ee69555589d4e3ff
v1,045000,best,policy_postprocessor.json,648b415125a183dfd6cbc47c1dc04ab3f2d912654ef22a12ca5e8b93d7d85cdd
v1,045000,best,policy_postprocessor_step_0_unnormalizer_processor.safetensors,1efd576d12b37845eca25bce3a489c32d7ed5a9e9b825bdb844b7fafb5b3d6b1
v1,045000,best,policy_preprocessor.json,d0fe5bdd6f1fb1fa3d98bdcb1314dc4ebb36b3edb69c1f26c6581f8a956d3824
v1,045000,best,policy_preprocessor_step_3_normalizer_processor.safetensors,4e03809965d8f13efa368852f5cce5a24b2d3ddd247901c535ce829441802faa
v1,045000,best,train_config.json,d5ee1659ec0431864a836dedfc093e5fb883c279439e2b03ba3f36a96e131341
v1,050000,final,config.json,7194f321fc991bdb1c772eadb6aaafaff37bd8a4eeb5bf2a6f66e9327fb2ae9b
v1,050000,final,model.safetensors,0ae897b87ff6e2d7f072a49ba0e0f06adf2f415083d8b3e27bf153c91b70059d
v1,050000,final,policy_postprocessor.json,648b415125a183dfd6cbc47c1dc04ab3f2d912654ef22a12ca5e8b93d7d85cdd
v1,050000,final,policy_postprocessor_step_0_unnormalizer_processor.safetensors,1efd576d12b37845eca25bce3a489c32d7ed5a9e9b825bdb844b7fafb5b3d6b1
v1,050000,final,policy_preprocessor.json,d0fe5bdd6f1fb1fa3d98bdcb1314dc4ebb36b3edb69c1f26c6581f8a956d3824
v1,050000,final,policy_preprocessor_step_3_normalizer_processor.safetensors,4e03809965d8f13efa368852f5cce5a24b2d3ddd247901c535ce829441802faa
v1,050000,final,train_config.json,d5ee1659ec0431864a836dedfc093e5fb883c279439e2b03ba3f36a96e131341
v2,030000,best,config.json,7194f321fc991bdb1c772eadb6aaafaff37bd8a4eeb5bf2a6f66e9327fb2ae9b
v2,030000,best,model.safetensors,9d85c8fdd4c6680c998647312d85aa2ad5b4b6b99bf780da1710dfa5f8d733d0
v2,030000,best,policy_postprocessor.json,648b415125a183dfd6cbc47c1dc04ab3f2d912654ef22a12ca5e8b93d7d85cdd
v2,030000,best,policy_postprocessor_step_0_unnormalizer_processor.safetensors,a8d4d40ddcd644a8319dec28df4f51c710cc4b0dc8dbd1b2163109fee91dcf1b
v2,030000,best,policy_preprocessor.json,d0fe5bdd6f1fb1fa3d98bdcb1314dc4ebb36b3edb69c1f26c6581f8a956d3824
v2,030000,best,policy_preprocessor_step_3_normalizer_processor.safetensors,1a54209c4aca8fd7b9001abc90ac75d5cd2d5face054d8dcf0121cd2650aa630
v2,030000,best,train_config.json,3c59d680682ae48cb9ba65e7989e57d75d936604961a00aacf18904c84625894
v2,050000,final,config.json,7194f321fc991bdb1c772eadb6aaafaff37bd8a4eeb5bf2a6f66e9327fb2ae9b
v2,050000,final,model.safetensors,de110f848b24cb3e8717bb1baf1add5ee7c4960df955476e4faedb643aaf9bcd
v2,050000,final,policy_postprocessor.json,648b415125a183dfd6cbc47c1dc04ab3f2d912654ef22a12ca5e8b93d7d85cdd
v2,050000,final,policy_postprocessor_step_0_unnormalizer_processor.safetensors,a8d4d40ddcd644a8319dec28df4f51c710cc4b0dc8dbd1b2163109fee91dcf1b
v2,050000,final,policy_preprocessor.json,d0fe5bdd6f1fb1fa3d98bdcb1314dc4ebb36b3edb69c1f26c6581f8a956d3824
v2,050000,final,policy_preprocessor_step_3_normalizer_processor.safetensors,1a54209c4aca8fd7b9001abc90ac75d5cd2d5face054d8dcf0121cd2650aa630
v2,050000,final,train_config.json,3c59d680682ae48cb9ba65e7989e57d75d936604961a00aacf18904c84625894
